Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
CDH5		10	10	746	1.3%	No
AFF2		2	2	1049	0.2%	No
MRGPRX1		1	1	1049	<0.1%	No
CDH3		1	1	1049	<0.1%	No
SPTSSA		1	1	1049	<0.1%	No
IRF5		2	2	1049	0.2%	No
IRF7		1	1	1049	<0.1%	No
EXOC5		3	3	1049	0.3%	No
IGF2BP1		1	1	1049	<0.1%	No
ORC2		3	3	1049	0.3%	No
ZXDB		1	1	1049	<0.1%	No
SH3PXD2B		1	1	1049	<0.1%	No
CDH11		1	1	1049	<0.1%	Yes
IGF2BP3		1	1	1049	<0.1%	No
ITGAM		1	1	1049	<0.1%	No
CDK6		1	1	1021	<0.1%	Yes
LRP11		1	1	1049	<0.1%	No
CLEC18B		4	4	1049	0.4%	No
SPTA1		41	36	723	5.0%	No
SPTAN1		1	1	1049	<0.1%	No
RBCK1		2	2	1049	0.2%	No
CDH13		1	1	1049	<0.1%	No
CTAGE9		1	1	1049	<0.1%	No
ITGA4		2	2	1049	0.2%	No
ITGA7		1	1	1049	<0.1%	No
KCTD1		1	1	1049	<0.1%	No
ITGB4		1	1	1049	<0.1%	No
ITGB5		1	1	1049	<0.1%	No
ITGB6		1	1	1049	<0.1%	No
SREBF1		2	2	1049	0.2%	No
CDKN2C		3	3	1021	0.3%	Yes
CDKN2B		6	6	1049	0.6%	Yes
CDKN2A		16	14	1049	1.3%	Yes
CDKN1B		5	5	998	0.5%	Yes
CDKN1A		10	10	821	1.2%	Yes
FPR1		1	1	1049	<0.1%	No
TXNIP		1	1	1049	<0.1%	No
CDK8		1	1	1021	<0.1%	Yes
TAF6L		2	2	1049	0.2%	No
SLFN14		1	1	1049	<0.1%	No
SPTBN1		4	3	1049	0.3%	No
SPTB		1	1	1049	<0.1%	No
ITGAX		2	2	1049	0.2%	No
SPTBN2		1	1	1049	<0.1%	No
ITGB2		1	1	1049	<0.1%	No
SRC		2	2	1021	0.2%	Yes
BOD1L1		1	1	1049	<0.1%	No
SDSL		1	1	1049	<0.1%	No
MRPL24		2	2	1049	0.2%	No
CCM2		1	1	1049	<0.1%	No
PWWP3A		2	2	1049	0.2%	No
INTS1		1	1	1049	<0.1%	No
OBI1		1	1	1049	<0.1%	No
CEP97		2	2	1049	0.2%	No
CORO6		1	1	1049	<0.1%	No
ITGB8		1	1	1049	<0.1%	No
SREBF2		2	2	1049	0.2%	No
ITIH3		1	1	1049	<0.1%	No
PNLDC1		1	1	1049	<0.1%	No
TAS2R30		1	1	1049	<0.1%	No
ATXN3L		1	1	1049	<0.1%	No
CEBPA		13	13	993	1.3%	Yes
ZNF287		2	1	1049	<0.1%	No
CHPF		1	1	1049	<0.1%	No
SH2B2		1	1	1049	<0.1%	No
CEACAM5		1	1	1049	<0.1%	No
MASTL		1	1	1049	<0.1%	No
SRPRA		1	1	1049	<0.1%	No
PNLIP		1	1	1049	<0.1%	No
USP16		1	1	1049	<0.1%	No
MALRD1		1	1	1049	<0.1%	No
SSTR1		1	1	1049	<0.1%	No
CES1		2	2	1049	0.2%	No
CENPF		1	1	1049	<0.1%	No
CENPE		2	1	1049	<0.1%	No
CENPC		1	1	1049	<0.1%	No
MEF2B		3	2	998	0.2%	Yes
CENPB		1	1	1049	<0.1%	No
KIAA1671		2	2	1049	0.2%	No
TXNRD3		1	1	1049	<0.1%	No
CEL		1	1	1049	<0.1%	No
ITPRID2		1	1	1049	<0.1%	No
TUBGCP6		3	3	1049	0.3%	No
SEPTIN4		2	2	1049	0.2%	No
SSR2		2	2	1049	0.2%	No
RIMBP3		1	1	1049	<0.1%	No
HMSD		1	1	1049	<0.1%	No
POLR2A		1	1	1049	<0.1%	No
DNAI2		2	2	1049	0.2%	No
KIAA1549L		1	1	1049	<0.1%	No
KCNK18		1	1	1049	<0.1%	No
BTN3A2		1	1	1049	<0.1%	No
RLIM		1	1	1049	<0.1%	No
IRAK4		1	1	1049	<0.1%	No
POLD1		9	9	793	1.1%	Yes
OBSCN		4	4	1049	0.4%	No
POLD2		1	1	1049	<0.1%	No
POLE		21	21	821	2.6%	Yes
TMEM201		1	1	1049	<0.1%	No
EMILIN1		1	1	1049	<0.1%	No
MAGT1		2	2	1049	0.2%	No
POMC		1	1	1049	<0.1%	No
STAT4		6	6	900	0.7%	Yes
STAT3		6	5	819	0.6%	Yes
BNIP5		2	1	1049	<0.1%	No
SLC24A4		1	1	1049	<0.1%	No
DYNC1LI1		2	2	1049	0.2%	No
CHST12		1	1	1049	<0.1%	No
ETNK1		1	1	1049	<0.1%	Yes
MAGEA4		1	1	1049	<0.1%	No
POLR2E		1	1	1049	<0.1%	No
MAGEA8		1	1	1049	<0.1%	No
GPR137		1	1	1049	<0.1%	No
SLX9		1	1	1049	<0.1%	No
RNF40		1	1	1049	<0.1%	No
MAN2C1		1	1	1049	<0.1%	No
ADGRV1		1	1	1049	<0.1%	No
STAT5B		2	2	266	0.8%	Yes
STAT5A		1	1	266	0.4%	Yes
POR		1	1	1049	<0.1%	No
SPOCK2		1	1	1049	<0.1%	No
SPHK2		1	1	1049	<0.1%	No
AURKA		1	1	1021	<0.1%	Yes
MAP1B		2	2	1049	0.2%	No
RB1CC1		1	1	1049	<0.1%	No
MAP2		2	2	1049	0.2%	No
STK11		6	6	1021	0.6%	Yes
PPARA		1	1	1049	<0.1%	No
CSMD1		1	1	1049	<0.1%	No
CDNF		1	1	1049	<0.1%	No
ALDH16A1		4	3	1049	0.3%	No
C3ORF18		1	1	1049	<0.1%	No
DCTN4		1	1	1049	<0.1%	No
AADAT		1	1	1049	<0.1%	No
CPT1C		1	1	1049	<0.1%	No
MYO15A		1	1	1049	<0.1%	No
TRIM36		1	1	1049	<0.1%	No
STK3		1	1	1049	<0.1%	No
SFI1		1	1	1049	<0.1%	No
CCT6B		1	1	196	0.5%	Yes
GIT2		1	1	1049	<0.1%	No
DELE1		1	1	1049	<0.1%	No
URB2		1	1	1049	<0.1%	No
KEAP1		10	10	998	1.0%	Yes
PPEF1		1	1	1049	<0.1%	No
MELK		2	2	1049	0.2%	No
ZNF623		1	1	1049	<0.1%	No
KY		1	1	1049	<0.1%	No
MAML3		3	3	1049	0.3%	No
AKT1		16	16	1049	1.5%	Yes
PPARG		1	1	739	0.1%	Yes
AKT2		3	3	1021	0.3%	Yes
MED1		1	1	1049	<0.1%	No
ERRFI1		9	9	793	1.1%	Yes
QRICH2		1	1	1049	<0.1%	No
TKTL2		1	1	1049	<0.1%	No
ARHGEF17		1	1	1049	<0.1%	No
FSCB		1	1	1049	<0.1%	No
PPID		1	1	1049	<0.1%	No
MB		1	1	1049	<0.1%	No
PYGO2		1	1	1049	<0.1%	No
SIGLEC10		2	2	1049	0.2%	No
HEPH		2	2	1049	0.2%	No
WDR53		1	1	1049	<0.1%	No
ZBTB24		1	1	1049	<0.1%	No
MC1R		1	1	1049	<0.1%	No
C1ORF127		1	1	1049	<0.1%	No
TMEM199		1	1	1049	<0.1%	No
ALAD		1	1	1049	<0.1%	No
B3GNT2		1	1	1049	<0.1%	No
CRBN		5	5	897	0.6%	Yes
ALDH1A1		1	1	1049	<0.1%	No
PODN		1	1	1049	<0.1%	No
ALDH3A1		2	2	1049	0.2%	No
PPIB		1	1	1049	<0.1%	No
MAX		2	2	291	0.7%	Yes
GNA13		5	5	900	0.6%	Yes
NAV2		2	2	1049	0.2%	No
CSPG5		1	1	1049	<0.1%	No
ENC1		2	2	1049	0.2%	No
PPL		1	1	1049	<0.1%	No
PPM1A		2	2	1049	0.2%	No
FARP2		1	1	1049	<0.1%	No
SOX6		1	1	1049	<0.1%	No
ABHD3		1	1	1049	<0.1%	No
ABCD2		1	1	1049	<0.1%	No
CCDC39		1	1	1049	<0.1%	No
ITGA8		1	1	1049	<0.1%	No
KCNAB2		1	1	1049	<0.1%	No
HAUS7		2	2	1049	0.2%	No
ELP1		1	1	1049	<0.1%	No
LMLN		1	1	1049	<0.1%	No
MCM4		2	2	1049	0.2%	No
GLRA4		1	1	1049	<0.1%	No
CBX4		2	2	1049	0.2%	No
MAGI2		11	10	723	1.4%	No
ANO3		1	1	1049	<0.1%	No
TRIM71		2	2	1049	0.2%	No
PDS5B		1	1	1049	<0.1%	Yes
MCL1		3	3	1049	0.3%	Yes
MON2		1	1	1049	<0.1%	No
ALK		17	17	1021	1.7%	Yes
PPP1R26		1	1	1049	<0.1%	No
BCL2L12		1	1	1049	<0.1%	No
PPFIA3		2	2	1049	0.2%	No
TRIM31		1	1	1049	<0.1%	No
AP3B1		1	1	1049	<0.1%	No
TOPBP1		1	1	1049	<0.1%	No
TLK1		1	1	1049	<0.1%	No
CLUAP1		1	1	1049	<0.1%	No
ALOX12B		3	3	995	0.3%	Yes
ALOX15		5	5	1049	0.5%	No
UBE2J2		1	1	1049	<0.1%	No
EDN2		1	1	1049	<0.1%	No
TRIOBP		2	2	1049	0.2%	No
MDM4		6	6	1021	0.6%	Yes
TRANK1		2	2	1049	0.2%	No
TBC1D4		1	1	1049	<0.1%	No
TRPC4		1	1	1049	<0.1%	No
PIM2		1	1	1049	<0.1%	No
PDZRN3		2	2	1049	0.2%	No
BUD23		1	1	1049	<0.1%	No
MDH1		1	1	1049	<0.1%	No
MDM2		2	2	1049	0.2%	Yes
PRIMPOL		1	1	1049	<0.1%	No
SMCO1		1	1	1049	<0.1%	No
UPK1A		2	2	1049	0.2%	No
PHC2		1	1	1049	<0.1%	No
TELO2		1	1	1049	<0.1%	No
KMO		1	1	1049	<0.1%	No
TECPR2		1	1	1049	<0.1%	No
OR2T8		2	2	1049	0.2%	No
OR2W3		1	1	1049	<0.1%	No
OGFR		1	1	1049	<0.1%	No
PHLPP2		5	5	746	0.7%	No
ZNF292		3	3	1049	0.3%	No
PDZD2		2	2	1049	0.2%	No
PLPPR4		1	1	1049	<0.1%	No
NUAK1		1	1	1049	<0.1%	No
XPO7		2	2	1049	0.2%	No
AMELX		1	1	1049	<0.1%	No
AMH		1	1	1049	<0.1%	No
DOP1A		4	4	1049	0.4%	No
ATCAY		1	1	1049	<0.1%	No
TRPS1		2	2	1049	0.2%	No
CASK		1	1	1049	<0.1%	No
TSC1		19	19	1021	1.9%	Yes
AMER2		1	1	1049	<0.1%	No
KLHDC10		1	1	1049	<0.1%	No
OR5H14		1	1	1049	<0.1%	No
MKNK1		4	4	723	0.6%	Yes
LILRA3		1	1	1049	<0.1%	No
ZNF511		1	1	1049	<0.1%	No
TSHR		7	7	998	0.7%	Yes
FITM1		1	1	1049	<0.1%	No
SPEN		79	67	1026	6.5%	Yes
LY6D		1	1	1049	<0.1%	No
ANGPT1		2	2	1049	0.2%	No
ANGPT2		1	1	1049	<0.1%	No
CNOT1		1	1	1049	<0.1%	No
ANK1		1	1	1049	<0.1%	No
ANK2		1	1	1049	<0.1%	No
OR2D2		1	1	1049	<0.1%	No
TSC2		43	43	1021	4.2%	Yes
EFNB1		1	1	1049	<0.1%	No
C10ORF71		1	1	1049	<0.1%	No
EFNA3		1	1	1049	<0.1%	No
MEGF8		4	3	1049	0.3%	No
MEGF6		1	1	1049	<0.1%	No
CELSR2		1	1	1049	<0.1%	No
CELSR3		1	1	1049	<0.1%	No
EGF		1	1	1049	<0.1%	No
SHANK3		1	1	1049	<0.1%	No
EGFR		16	15	1049	1.4%	Yes
INF2		2	2	1049	0.2%	No
ZNF491		1	1	1049	<0.1%	No
SERHL2		1	1	1049	<0.1%	No
TTN		8	8	1049	0.8%	No
LIAS		1	1	1049	<0.1%	No
TRAPPC12		1	1	1049	<0.1%	No
OR2T27		1	1	1049	<0.1%	No
EIF2S3		1	1	1049	<0.1%	No
C1QTNF5		1	1	1049	<0.1%	No
KIF26A		1	1	1049	<0.1%	No
ABCA12		1	1	1049	<0.1%	No
GIMAP2		1	1	1049	<0.1%	No
CELA1		1	1	1049	<0.1%	No
SNX14		1	1	1049	<0.1%	No
ZNF630		1	1	1049	<0.1%	No
LRTM2		1	1	1049	<0.1%	No
IL4I1		1	1	1049	<0.1%	No
EIF4G2		1	1	1049	<0.1%	No
SPATA31A7		1	1	1049	<0.1%	No
EIF4G1		1	1	1049	<0.1%	No
SENP3		1	1	1049	<0.1%	No
IFT172		1	1	1049	<0.1%	No
IL20		1	1	1049	<0.1%	No
IGFN1		1	1	1049	<0.1%	No
ZBTB20		2	1	1049	<0.1%	Yes
TNN		1	1	1049	<0.1%	No
CHTF18		2	1	1049	<0.1%	No
TIGD7		1	1	1049	<0.1%	No
CCDC142		1	1	1049	<0.1%	No
CFAP70		2	1	1049	<0.1%	No
SOWAHA		2	1	1049	<0.1%	No
ZNF667		1	1	1049	<0.1%	No
ITPKB		1	1	1049	<0.1%	No
ZBTB8A		1	1	1049	<0.1%	No
ITIH4		1	1	1049	<0.1%	No
CUZD1		1	1	1049	<0.1%	No
HIP1R		1	1	1049	<0.1%	No
SCARF2		1	1	1049	<0.1%	No
TANC2		2	2	1049	0.2%	No
PCLO		1	1	196	0.5%	Yes
SVIP		1	1	1049	<0.1%	No
SLC7A3		1	1	1049	<0.1%	No
JAK1		10	10	1021	1.0%	Yes
PPRC1		2	1	1049	<0.1%	No
HDHD5		1	1	1049	<0.1%	No
JAK2		9	9	1021	0.9%	Yes
JAK3		12	12	1021	1.2%	Yes
CECR2		1	1	1049	<0.1%	No
TRIM35		1	1	1049	<0.1%	No
MFRP		1	1	1049	<0.1%	No
AIFM2		1	1	1049	<0.1%	No
ITPR3		1	1	1049	<0.1%	No
IVL		2	2	1049	0.2%	No
SEMA5A		2	2	1049	0.2%	No
TAAR5		2	1	1049	<0.1%	No
JUNB		1	1	1049	<0.1%	No
ZBTB45		1	1	1049	<0.1%	No
SIPA1L3		2	2	1049	0.2%	No
UCK1		2	2	1049	0.2%	No
IQSEC2		1	1	1049	<0.1%	No
ORAI1		1	1	1049	<0.1%	No
AGBL4		1	1	1049	<0.1%	No
JUN		5	4	1021	0.4%	Yes
DIDO1		2	2	1049	0.2%	No
ESM1		1	1	1049	<0.1%	No
GPRASP2		1	1	1049	<0.1%	No
ADAM30		2	2	1049	0.2%	No
SETD1B		2	2	1049	0.2%	Yes
SPAG9		1	1	1049	<0.1%	No
CLSPN		1	1	1049	<0.1%	No
BTAF1		1	1	1049	<0.1%	No
SLC4A10		1	1	1049	<0.1%	No
KCNA2		2	2	1049	0.2%	No
LIX1		1	1	1049	<0.1%	No
WAPL		1	1	1049	<0.1%	No
SETX		1	1	1049	<0.1%	No
EMC1		1	1	1049	<0.1%	No
SLC45A1		1	1	1049	<0.1%	No
ARHGEF3		1	1	1049	<0.1%	No
KCNA1		1	1	1049	<0.1%	No
ZNF524		1	1	1049	<0.1%	No
ADAMTS13		2	2	1049	0.2%	No
ADAMTS5		1	1	1049	<0.1%	No
NUP42		1	1	1049	<0.1%	No
VWA8		1	1	1049	<0.1%	No
NUP210L		2	2	1049	0.2%	No
PRDM16		2	2	196	1.0%	Yes
MAP7		1	1	1049	<0.1%	No
TMTC4		1	1	1049	<0.1%	No
HECW1		1	1	1049	<0.1%	No
WIPI2		1	1	1049	<0.1%	No
MYCBP2		1	1	1049	<0.1%	No
KCNA7		1	1	1049	<0.1%	No
KCNJ4		1	1	1049	<0.1%	No
MRPL9		1	1	1049	<0.1%	No
MYO18A		2	1	196	0.5%	Yes
PAPSS2		2	2	1049	0.2%	No
HELT		1	1	1049	<0.1%	No
PIAS2		1	1	1049	<0.1%	No
MAP3K6		2	2	196	1.0%	Yes
TMEM204		1	1	1049	<0.1%	No
RABL6		1	1	1049	<0.1%	No
RHBDF2		1	1	1049	<0.1%	No
TMEM145		2	2	1049	0.2%	No
ARHGAP10		1	1	1049	<0.1%	No
FLCN		3	3	824	0.4%	Yes
KCND2		1	1	1049	<0.1%	No
KCND3		2	2	1049	0.2%	No
KCNE1		1	1	1049	<0.1%	No
KCNF1		1	1	1049	<0.1%	No
ZMYND11		1	1	1049	<0.1%	No
PINK1		1	1	1049	<0.1%	No
SH2D4B		1	1	1049	<0.1%	No
ASH2L		1	1	1049	<0.1%	No
LUC7L		1	1	1049	<0.1%	No
DIRAS3		1	1	1049	<0.1%	No
CHD3		1	1	1049	<0.1%	No
RBM22		1	1	1049	<0.1%	No
ARHGAP27		1	1	1049	<0.1%	No
CHD2		8	8	726	1.1%	Yes
IQGAP2		1	1	1049	<0.1%	No
CLXN		1	1	1049	<0.1%	No
RCBTB2		1	1	1049	<0.1%	No
RADIL		1	1	1049	<0.1%	No
PANK3		1	1	1049	<0.1%	No
ZNF234		2	2	1049	0.2%	No
KCNJ8		1	1	1049	<0.1%	No
KCNJ10		1	1	1049	<0.1%	No
TIMM50		2	2	1049	0.2%	No
CHD4		8	8	723	1.1%	Yes
SLC15A5		2	2	1049	0.2%	No
KCNN3		1	1	1049	<0.1%	No
OR2J1		1	1	1049	<0.1%	No
FN3KRP		1	1	1049	<0.1%	No
CHI3L1		1	1	1049	<0.1%	No
CHGB		1	1	1049	<0.1%	No
DNAI3		1	1	1049	<0.1%	No
CHEK1		1	1	1021	<0.1%	Yes
SEC14L6		1	1	1049	<0.1%	No
MIF4GD		1	1	1049	<0.1%	No
R3HDM4		1	1	1049	<0.1%	No
CCDC60		1	1	1049	<0.1%	No
KDR		24	21	1049	2.0%	Yes
KEL		10	9	723	1.2%	Yes
TMEM259		1	1	1049	<0.1%	No
CHRM3		1	1	1049	<0.1%	No
LYST		1	1	1049	<0.1%	No
USP6		1	1	196	0.5%	Yes
CHRM1		1	1	1049	<0.1%	No
ZNF776		1	1	1049	<0.1%	No
CHN2		1	1	1049	<0.1%	No
PARP8		1	1	1049	<0.1%	No
KCNQ1		1	1	1049	<0.1%	No
STXBP3		1	1	1049	<0.1%	No
STXBP2		1	1	1049	<0.1%	No
NUP50		2	1	1049	<0.1%	No
CHRNB1		1	1	1049	<0.1%	No
OR4K17		1	1	1049	<0.1%	No
FERMT3		1	1	1049	<0.1%	No
SUPT5H		3	3	1049	0.3%	No
STAG3		1	1	1049	<0.1%	No
CHRNA7		1	1	1049	<0.1%	No
PLK4		1	1	1049	<0.1%	No
GALNT12		13	13	723	1.8%	No
CHRNA4		1	1	1049	<0.1%	No
STAG2		8	8	998	0.8%	Yes
CHRNA1		1	1	1049	<0.1%	No
KIF2A		1	1	1049	<0.1%	No
OR13C4		2	2	1049	0.2%	No
ACD		1	1	1049	<0.1%	No
OR13C3		1	1	1049	<0.1%	No
FOXP2		4	4	1049	0.4%	No
KIF4B		1	1	1049	<0.1%	No
SVIL		2	2	1049	0.2%	No
POLN		1	1	1049	<0.1%	No
PCDHGA11		1	1	1049	<0.1%	No
MASP2		1	1	1049	<0.1%	No
PCDHGA10		1	1	1049	<0.1%	No
PCDHGB6		1	1	1049	<0.1%	No
CHRND		2	2	1049	0.2%	No
MTOR		15	15	1021	1.5%	Yes
CLEC6A		1	1	1049	<0.1%	No
ENPP6		2	2	1049	0.2%	No
PPP1R3A		1	1	1049	<0.1%	No
RAI2		1	1	1049	<0.1%	No
CNKSR3		1	1	1049	<0.1%	No
NBEAL1		1	1	1049	<0.1%	No
SYK		3	3	998	0.3%	Yes
UBE3D		1	1	1049	<0.1%	No
OSBPL10		1	1	1049	<0.1%	No
PCDHGA5		1	1	1049	<0.1%	No
CENPI		2	2	1049	0.2%	No
DDX60L		1	1	1049	<0.1%	No
ZNF597		1	1	1049	<0.1%	No
BIRC6		1	1	1049	<0.1%	No
PLEKHG5		1	1	1049	<0.1%	No
EHF		3	3	1049	0.3%	No
TBCB		1	1	1049	<0.1%	No
PPP1R10		1	1	1049	<0.1%	No
TMEM237		1	1	1049	<0.1%	No
PPP1R37		1	1	1049	<0.1%	No
PPP2R1A		23	21	998	2.1%	Yes
RTN4R		3	3	1049	0.3%	No
DDX51		1	1	1049	<0.1%	No
TENM2		2	2	1049	0.2%	No
PCDHB15		1	1	1049	<0.1%	No
OSBPL1A		1	1	1049	<0.1%	No
PCDHB10		2	2	1049	0.2%	No
TLCD3B		1	1	1049	<0.1%	No
AXDND1		2	2	1049	0.2%	No
NFAT5		1	1	1049	<0.1%	No
OGA		1	1	1049	<0.1%	No
PCDHB14		1	1	1049	<0.1%	No
OSBPL7		1	1	1049	<0.1%	No
CCDC157		1	1	1049	<0.1%	No
PCDHB11		1	1	1049	<0.1%	No
KIAA1143		1	1	1049	<0.1%	No
SYT1		1	1	1049	<0.1%	No
TAF1		2	2	726	0.3%	Yes
MEIS1		2	2	1049	0.2%	No
CLCNKA		1	1	1049	<0.1%	No
CLCN7		1	1	1049	<0.1%	No
SPPL2C		1	1	1049	<0.1%	No
PRKD2		2	2	1049	0.2%	No
CLCN2		1	1	1049	<0.1%	No
ACSBG1		1	1	1049	<0.1%	No
DDX60		1	1	1049	<0.1%	No
CLC		1	1	1049	<0.1%	No
KLHL6		9	9	900	1.0%	Yes
NLRC5		1	1	1049	<0.1%	No
MEF2A		1	1	1049	<0.1%	No
PPP5C		1	1	1049	<0.1%	No
C19ORF44		1	1	1049	<0.1%	No
KIAA1109		1	1	1049	<0.1%	No
MEF2C		1	1	196	0.5%	Yes
GALNT5		1	1	1049	<0.1%	No
MEN1		3	3	1021	0.3%	Yes
MAP3K7		1	1	196	0.5%	Yes
ZNF555		1	1	1049	<0.1%	No
HMCES		1	1	1049	<0.1%	No
DENND4B		2	2	1049	0.2%	No
NT5C3A		2	2	1049	0.2%	No
FERMT1		2	1	1049	<0.1%	No
ARID5B		5	5	291	1.7%	Yes
MRPL37		1	1	1049	<0.1%	No
CLCNKB		1	1	1049	<0.1%	No
MRC2		2	1	1049	<0.1%	No
MAP3K1		29	27	998	2.7%	Yes
KLHL21		1	1	1049	<0.1%	No
SRGAP3		1	1	1049	<0.1%	No
TMEM216		1	1	1049	<0.1%	No
OTOG		1	1	1049	<0.1%	No
SLC35E2A		1	1	1049	<0.1%	No
RBM19		1	1	1049	<0.1%	No
EMSY		6	6	900	0.7%	Yes
ZNF479		1	1	1049	<0.1%	No
TAP1		1	1	209	0.5%	Yes
CHD6		1	1	1049	<0.1%	No
RNF10		1	1	1049	<0.1%	No
MET		9	9	1021	0.9%	Yes
ALDH8A1		1	1	1049	<0.1%	No
TARBP2		2	2	1049	0.2%	No
SEC16A		1	1	1049	<0.1%	No
NT5M		1	1	1049	<0.1%	No
MRPL27		1	1	1049	<0.1%	No
ZC3H18		2	2	1049	0.2%	No
SMYD2		1	1	1049	<0.1%	No
MEP1B		1	1	1049	<0.1%	No
AMBRA1		2	2	1049	0.2%	No
PRIM2		1	1	1049	<0.1%	No
ARHGAP44		1	1	1049	<0.1%	No
CHEK2		18	18	1021	1.8%	Yes
POMGNT1		2	2	1049	0.2%	No
FAM20B		1	1	1049	<0.1%	No
NCAPD2		1	1	1049	<0.1%	No
FBXO43		1	1	1049	<0.1%	No
ARNT2		1	1	1049	<0.1%	No
MFGE8		1	1	1049	<0.1%	No
ZNF844		1	1	1049	<0.1%	No
MELTF		1	1	1049	<0.1%	No
PRKAR1A		1	1	998	0.1%	Yes
SPOCD1		1	1	1049	<0.1%	No
KLF3		1	1	1049	<0.1%	Yes
PLCZ1		2	2	1049	0.2%	No
LRRC40		1	1	1049	<0.1%	No
SYBU		1	1	1049	<0.1%	No
DEPDC1		1	1	1049	<0.1%	No
AKAP10		1	1	1049	<0.1%	No
KBTBD6		1	1	1049	<0.1%	No
MIA2		2	2	1049	0.2%	No
PRKCI		4	4	739	0.5%	Yes
PROKR2		2	2	1049	0.2%	No
PKN1		1	1	1049	<0.1%	No
PKN2		1	1	1049	<0.1%	No
PRKD1		4	4	209	1.9%	Yes
NAT8L		1	1	1049	<0.1%	No
COG2		1	1	1049	<0.1%	No
GOLM1		1	1	1049	<0.1%	No
KIF18A		1	1	1049	<0.1%	No
GBP4		1	1	1049	<0.1%	No
GBP5		1	1	1049	<0.1%	No
NAA16		1	1	1049	<0.1%	No
TANGO6		2	2	1049	0.2%	No
AOX1		1	1	1049	<0.1%	No
PRKCB		1	1	1049	<0.1%	No
PUM3		1	1	1049	<0.1%	No
STOX2		1	1	1049	<0.1%	No
OR1L8		1	1	1049	<0.1%	No
DCLRE1A		2	1	1049	<0.1%	No
PRKDC		31	31	923	3.4%	Yes
PRKG1		1	1	1049	<0.1%	No
GOLGA5		1	1	1049	<0.1%	Yes
MAPK4		1	1	1049	<0.1%	No
MAPK7		1	1	1049	<0.1%	No
ZNF681		2	2	1049	0.2%	No
POU2F3		1	1	1049	<0.1%	No
MGAT4C		1	1	1049	<0.1%	No
FCRL3		1	1	1049	<0.1%	No
APC		31	30	1021	2.9%	Yes
FBXO47		1	1	1049	<0.1%	No
PLPP3		1	1	1049	<0.1%	No
FAM118B		1	1	1049	<0.1%	No
VCPKMT		1	1	1049	<0.1%	No
TYRO3		8	8	723	1.1%	Yes
FGF19		1	1	998	0.1%	Yes
DNAH17		1	1	1049	<0.1%	No
SLC23A1		1	1	1049	<0.1%	No
ZNF814		1	1	1049	<0.1%	No
DDX27		1	1	1049	<0.1%	No
FAM184A		2	2	1049	0.2%	No
C11ORF98		1	1	1049	<0.1%	No
APOA1		2	1	1049	<0.1%	No
FAT4		2	2	1049	0.2%	Yes
APOA2		2	2	1049	0.2%	No
URGCP		1	1	1049	<0.1%	No
LIPJ		1	1	1049	<0.1%	No
HS3ST2		1	1	1049	<0.1%	No
OR5I1		1	1	1049	<0.1%	No
PCDHGB4		1	1	1049	<0.1%	No
NUP153		1	1	1049	<0.1%	No
MIPEP		1	1	1049	<0.1%	No
MITF		5	5	1021	0.5%	Yes
KLK5		1	1	1049	<0.1%	No
CCDC148		2	2	1049	0.2%	No
MKI67		2	2	196	1.0%	Yes
